运输架次编号,通信阶段,开始时刻s,结束时刻s,保障方式,中继架次编号
Q2-012,巡航,2617.799,2702.799,中继,Q3-R01
Q2-012,巡航,2702.799,2847.029,中继,Q3-R02
Q2-012,下降,2847.029,2900.430,中继,Q3-R02
Q2-012,物资交接,2900.430,3140.430,中继,Q3-R02
Q2-012,爬升,3140.430,3184.930,中继,Q3-R02
Q2-012,巡航,3184.930,3329.930,中继,Q3-R02
Q2-012,巡航,3329.930,3415.930,中继,Q3-R01
Q2-012,巡航,3415.930,3678.160,直连,
Q2-012,下降,3678.160,3792.400,直连,
Q2-009,爬升,3424.974,3506.710,直连,
Q2-009,巡航,3506.710,3798.710,直连,
Q2-009,巡航,3798.710,4047.342,中继,Q3-R01
Q2-009,下降,4047.342,4088.146,中继,Q3-R01
Q2-009,物资交接,4088.146,4298.146,中继,Q3-R01
Q2-009,爬升,4298.146,4332.149,中继,Q3-R01
Q2-009,巡航,4332.149,4581.149,中继,Q3-R01
Q2-009,巡航,4581.149,4872.780,直连,
Q2-009,下降,4872.780,4970.864,直连,
Q2-015,爬升,3597.839,3653.726,直连,
Q2-015,巡航,3653.726,3888.489,直连,
Q2-015,下降,3888.489,3921.794,直连,
Q2-015,物资交接,3921.794,4101.794,直连,
Q2-015,爬升,4101.794,4209.568,直连,
Q2-015,巡航,4209.568,4345.568,直连,
Q2-015,巡航,4345.568,4655.301,中继,Q3-R01
Q2-015,下降,4655.301,4734.070,中继,Q3-R01
Q2-015,物资交接,4734.070,4944.070,中继,Q3-R01
Q2-015,爬升,4944.070,5018.505,中继,Q3-R01
Q2-015,巡航,5018.505,5296.505,中继,Q3-R01
Q2-015,巡航,5296.505,5623.594,直连,
Q2-015,下降,5623.594,5797.236,直连,
Q2-016,爬升,3718.523,3872.232,直连,
Q2-016,巡航,3872.232,4135.232,直连,
Q2-016,巡航,4135.232,4138.232,中继,Q3-R01
Q2-016,巡航,4138.232,4140.232,直连,
Q2-016,巡航,4140.232,4174.487,中继,Q3-R01
Q2-016,下降,4174.487,4256.224,中继,Q3-R01
Q2-016,物资交接,4256.224,4472.224,中继,Q3-R01
Q2-016,爬升,4472.224,4497.104,中继,Q3-R01
Q2-016,巡航,4497.104,4679.292,中继,Q3-R01
Q2-016,下降,4679.292,4715.392,中继,Q3-R01
Q2-016,物资交接,4715.392,5111.392,中继,Q3-R01
Q2-016,爬升,5111.392,5200.713,中继,Q3-R01
Q2-016,巡航,5200.713,5422.713,中继,Q3-R01
Q2-016,巡航,5422.713,5684.785,直连,
Q2-016,下降,5684.785,5901.837,直连,
Q2-021,爬升,3603.584,3751.617,直连,
Q2-021,巡航,3751.617,4079.617,直连,
Q2-021,巡航,4079.617,4253.210,中继,Q3-R01
Q2-021,下降,4253.210,4292.130,中继,Q3-R01
Q2-021,物资交接,4292.130,4502.130,中继,Q3-R01
Q2-021,爬升,4502.130,4534.563,中继,Q3-R01
Q2-021,巡航,4534.563,4708.563,中继,Q3-R01
Q2-021,巡航,4708.563,5036.156,直连,
Q2-021,下降,5036.156,5213.795,直连,
Q2-019,爬升,4182.401,4264.137,直连,
Q2-019,巡航,4264.137,4556.137,直连,
Q2-019,巡航,4556.137,4804.769,中继,Q3-R01
Q2-019,下降,4804.769,4845.573,中继,Q3-R01
Q2-019,物资交接,4845.573,5085.573,中继,Q3-R01
Q2-019,爬升,5085.573,5119.576,中继,Q3-R01
Q2-019,巡航,5119.576,5368.576,中继,Q3-R01
Q2-019,巡航,5368.576,5660.207,直连,
Q2-019,下降,5660.207,5758.291,直连,
Q2-020,爬升,4284.436,4363.920,直连,
Q2-020,巡航,4363.920,4627.920,直连,
Q2-020,巡航,4627.920,4717.388,中继,Q3-R01
Q2-020,下降,4717.388,4783.094,中继,Q3-R01
Q2-020,物资交接,4783.094,5179.094,中继,Q3-R01
Q2-020,爬升,5179.094,5231.658,中继,Q3-R01
Q2-020,巡航,5231.658,5321.658,中继,Q3-R01
Q2-020,巡航,5321.658,5585.126,直连,
Q2-020,下降,5585.126,5684.482,直连,
Q2-003,爬升,5102.190,5192.370,直连,
Q2-003,巡航,5192.370,5662.370,直连,
Q2-003,巡航,5662.370,5837.842,中继,Q3-R01
Q2-003,下降,5837.842,5896.842,中继,Q3-R01
Q2-003,下降,5896.842,5905.817,中继,Q3-R03
Q2-003,物资交接,5905.817,6115.817,中继,Q3-R03
Q2-003,爬升,6115.817,6124.817,中继,Q3-R03
Q2-003,爬升,6124.817,6172.464,中继,Q3-R01
Q2-003,巡航,6172.464,6349.464,中继,Q3-R01
Q2-003,巡航,6349.464,6817.936,直连,
Q2-003,下降,6817.936,6926.151,直连,
Q2-017,爬升,5102.190,5192.370,直连,
Q2-017,巡航,5192.370,5662.370,直连,
Q2-017,巡航,5662.370,5837.842,中继,Q3-R01
Q2-017,下降,5837.842,5896.842,中继,Q3-R01
Q2-017,下降,5896.842,5905.817,中继,Q3-R03
Q2-017,物资交接,5905.817,6115.817,中继,Q3-R03
Q2-017,爬升,6115.817,6124.817,中继,Q3-R03
Q2-017,爬升,6124.817,6172.464,中继,Q3-R01
Q2-017,巡航,6172.464,6349.464,中继,Q3-R01
Q2-017,巡航,6349.464,6817.936,直连,
Q2-017,下降,6817.936,6926.151,直连,
Q2-018,爬升,5330.865,5421.045,直连,
Q2-018,巡航,5421.045,5797.045,直连,
Q2-018,巡航,5797.045,5937.422,中继,Q3-R01
Q2-018,下降,5937.422,5996.422,中继,Q3-R01
Q2-018,下降,5996.422,6005.398,中继,Q3-R03
Q2-018,物资交接,6005.398,6215.398,中继,Q3-R03
Q2-018,爬升,6215.398,6224.398,中继,Q3-R03
Q2-018,爬升,6224.398,6272.044,中继,Q3-R01
Q2-018,巡航,6272.044,6413.044,中继,Q3-R01
Q2-018,巡航,6413.044,6788.422,直连,
Q2-018,下降,6788.422,6896.637,直连,
Q2-022,爬升,6118.292,6174.179,直连,
Q2-022,巡航,6174.179,6361.989,直连,
Q2-022,下降,6361.989,6395.294,直连,
Q2-022,物资交接,6395.294,6605.294,直连,
Q2-022,爬升,6605.294,6633.048,直连,
Q2-022,巡航,6633.048,6820.858,直连,
Q2-022,下降,6820.858,6887.923,直连,
